*,,,,,,
1,What are considered as the building blocks for engineering materials?,Atom,Molecule,Nucleon,Proton,a
2,What refers to a metal combined with one or more other elements?,Metal,Alloy,Metaloy,Gas,c
3,The engineering materials known as “plastics” are more correctly called,Poly,Plastics,Copolymers,Polymers,b
4,What is obtained by repeatedly loading a specimen at given stress levels until it fails?,Elastic limit,Work limit,Endurance limit,Load limit,c
5,What dimensional property of a material refers to the deviation from edge straightness?,Amber,Alloy,Chamber,Camber,c
6,What is the generic name of a class of polymer which is commercial known as nylon?,Polyamide,Polymers,Copolymer,Polygon,a
7,What is the ratio of stress to strain in a material loaded within its elastic range?,Ultimate strength,Allowable strength,Modulus of elasticity,Yield strength,c
8,What is measure of rigidity?,Ultimate strength,Allowable strength,Modulus of elasticity,Yield strength,c
9,What is the amount of energy required to fracture a given volume of material?,Ultimate strength,Allowable strength,Modulus of elasticity,Impact strength,c
10,What is the resistance of a material to plastic deformation?,Softness,Hardness,Ductility,Strength,a
11,What is a substance that attracts piece of iron?,Core,Magnet,Iron,Cladding,b
12,What materials has permeabilities slighter greater than that of free space?,Paramagnetic materials,Ferromagnetic materials,Diamagnetic materials,Magnetic materials,c
13,What is ASTM test for compression is designated for plastics?,D795,E456,D695,F980,b
14,What is ASTM test for shear strength is designated for plastics?,E324,D732,H967,D732,a
15,What is ASTM test for tension is designated for standard methods of steel products?,F456,A370,J564,J789,b
16,A large molecule with two alternating mers is known as,Poly,Plastics,Copolymers,Polymers,a
17,What term is used to describe a polymer that has a rubber like properties?,Elastomer,Plastics,Copolymers,Polymers,c
18,What type of steel has a carbon as its principal hardening agent?,Iron steel,Carbon steel,Alloy,Iron carbon,b
19,What type of steel has 0_8% carbon and 100% pearlite?,Eutectoid,Deutectoid,Nuclei,Duetoic,c
20,Galvanized steel are steel product coated with,Zinc,Iron,Silicon,Boron,c
21,The use of acids to remove oxides and scale on hot-worked steels is known as,Pulling,pushinh,picking,Adding,a
22,What do you call tin mill steel without a coating?,Solid plate,Cladding,Coating,Black plate,c
23,A steel cannot qualify for stainless prefix until it has at least how many percent of Chromium?,10%,3%,12%,15%,c
24,What do you add to compensate for the remaining high iron-oxide content of the steel?,Deoxidizers,Oxidizers,Oxiders,Oxide,c
25,Sublimation is direct change from,Liquid to gas phase,Solid to gaseous phase,Gas to liquid phase,Liquid to solid phase,a
26,It is the attraction between like molecules,Adhesion,Cohesion,Reduction,Conduction,b
27,What type of bonding in which electrostatic attraction is predominant?,Covalent bonding,Ionic bonding,Chemical bonding,Unipolar bonding,c
28,How are elements numbered 58 to 71 in the periodic table called?,Magnets,Lanthanons,Halogens,Metals,b
29,What is considered as the general purpose oldest type and widely used cast iron?,Silver,Gray iron,Iron,Silicon magnesium,a
30,When all atom molecule are the same the substance is called?,mixture,compound,Substance,Halogens,b
31,What is the lowest-temperature diffusion hardening process and does not require a quench?,Nitriding,Compounding,Oxidizing,Oxidizers,a
32, What field of study encompasses the procurement and production of metals?,Metallurgy,Alloy,Energy,Duellurgy,c
33,What do you call earth and stone mixed with the iron oxides?,Gauze,Gauge,Pressure,Atmosheric,b
34,what is the opposite of alkali?,Acid,Fluid,Carbon,Oxide,c
35,what carboxylic acid is found in coconut oil? Lactic acid            ,Lactic acid,Citric acid,Tartaric acid,Lauric acid,c
36,What remains constant during a steady-flow process?,Mass,Energy content of the control volume,Temperature,Mass and energy content of the control volume,a
37,Which statement of the second law of thermodynamics states that no heat engine can have a thermal efficiency of 100 percent?,Kelvin-Planck statement,Clausius statement,Kelvin statement,Rankine statement,c
38,What is the emissivity of a black body?,0,1,0point5,0point25,c
39,What is the change in cost per unit variable change called?,Variable cost,Incremental cost,Fixed cost,Supplemental cost,c
40,What refers to the claim of anyone to ownership?,Proprietorship,Assets,Equity,Liability,a
41,What is the most common reinforcement for polymer composites?,Fiber,Optical fiber,Glass fiber,Coaxial fiber,b
42,What is the process of putting back the lost electrons to convert the ion back to metal?,Convection,Conduction,Reduction,Radiation,c
43,What is defined as a local corrosion damaged characterized by surface cavities?,Fitting,Pitting,Acting,Skilling,b
